Enzyme	CBM	diff	lwr	upr	p adj
CBM	micro-LM	0.7081424	0.4272497	0.98903513	0
CBM	MM-LM	1.1706183	0.8672195	1.47401715	0
CBM	SM-LM	0.5750025	0.2716037	0.8784013	0.0000032
CBM	WS-LM	0.4612428	0.1803501	0.74213553	0.0000868
CBM	MM-micro	0.4624759	0.1590771	0.76587474	0.0003477
CBM	SM-micro	-0.1331399	-0.4365387	0.17025889	0.7500292
CBM	WS-micro	-0.2468996	-0.5277923	0.03399312	0.1150886
CBM	SM-MM	-0.5956159	-0.9199628	-0.27126888	0.0000072
CBM	WS-MM	-0.7093755	-1.0127743	-0.40597672	0
CBM	WS-SM	-0.1137597	-0.4171585	0.18963913	0.8426413
GT	micro-LM	0.7010562	0.5969414	0.80517097	0
GT	MM-LM	1.2121821	1.0997253	1.32463895	0
GT	SM-LM	0.6078024	0.4953456	0.72025921	0
GT	WS-LM	0.4188523	0.3147376	0.52296709	0
GT	MM-micro	0.5111259	0.3986691	0.62358274	0
GT	SM-micro	-0.0932538	-0.2057106	0.019203	0.1571803
GT	WS-micro	-0.2822039	-0.3863186	-0.17808911	0
GT	SM-MM	-0.6043797	-0.7246011	-0.48415836	0
GT	WS-MM	-0.7933298	-0.9057866	-0.68087302	0
GT	WS-SM	-0.1889501	-0.3014069	-0.07649328	0.0000463
GH	micro-LM	0.7131113	0.5842271	0.84199555	0
GH	MM-LM	1.1218267	0.9826158	1.26103755	0
GH	SM-LM	0.523362	0.3841511	0.66257292	0
GH	WS-LM	0.3633048	0.2344206	0.49218905	0
GH	MM-micro	0.4087154	0.2695045	0.54792624	0
GH	SM-micro	-0.1897493	-0.3289602	-0.05053839	0.0019041
GH	WS-micro	-0.3498065	-0.4786907	-0.22092226	0
GH	SM-MM	-0.5984646	-0.7472873	-0.44964193	0
GH	WS-MM	-0.7585218	-0.8977327	-0.61931096	0
GH	WS-SM	-0.1600572	-0.2992681	-0.02084633	0.014821
CE	micro-LM	0.7697838	0.5747857	0.96478198	0
CE	MM-LM	1.2044875	0.9938654	1.41510957	0
CE	SM-LM	0.5828182	0.3721961	0.79344022	0
CE	WS-LM	0.4478088	0.2528106	0.64280691	0
CE	MM-micro	0.4347037	0.2240816	0.64532572	0.0000002
CE	SM-micro	-0.1869657	-0.3975877	0.02365638	0.1092042
CE	WS-micro	-0.3219751	-0.5169732	-0.12697694	0.0000714
CE	SM-MM	-0.6216693	-0.8468338	-0.39650489	0
CE	WS-MM	-0.7566787	-0.9673008	-0.54605668	0
CE	WS-SM	-0.1350094	-0.3456315	0.07561267	0.4024013
none	micro-LM	0.66097929	0.31853108	1.0034275	0.0000024
none	MM-LM	0.97176261	0.60187626	1.34164895	0
none	SM-LM	0.5993832	0.22949686	0.96926954	0.0001224
none	WS-LM	0.21351464	-0.12893357	0.55596285	0.4279983
none	MM-micro	0.31078332	-0.05910303	0.68066966	0.1456118
none	SM-micro	-0.06159609	-0.43148243	0.30829025	0.9909444
none	WS-micro	-0.44746465	-0.78991286	-0.10501644	0.0036014
none	SM-MM	-0.37237941	-0.76780454	0.02304573	0.0757504
none	WS-MM	-0.75824797	-1.12813431	-0.38836163	0.0000005
none	WS-SM	-0.38586856	-0.75575491	-0.01598222	0.0360816
PL	micro-LM	0.9370216	-0.4871741	2.36121734	0.2881254
PL	MM-LM	2.00855461	0.4702474	3.54686182	0.0089469
PL	SM-LM	0.95466829	-0.5836389	2.49297551	0.3388893
PL	WS-LM	0.46017205	-0.9640237	1.88436779	0.8429968
PL	MM-micro	1.07153301	-0.4667742	2.60984022	0.2415995
PL	SM-micro	0.01764669	-1.5206605	1.55595391	0.9999996
PL	WS-micro	-0.47684955	-1.9010453	0.94734619	0.8258821
PL	SM-MM	-1.05388632	-2.6984059	0.59063327	0.3106502
PL	WS-MM	-1.54838255	-3.0866898	-0.01007534	0.0482169
PL	WS-SM	-0.49449624	-2.0328035	1.04381098	0.8453522
